Title,Date Created,Latitude,Longitude,Northing,Easting,Description,Address,PlaceId,Type
420254,2020-09-28T13:58:57-07:00,47.74827489,-122.5343725,887182.6328,1139910.929,33 passable ,,,
420256,2020-09-28T11:12:49-07:00,47.7476853,-122.5268247,886919.8004,1141761.934,0 passable,,,
420257,2020-09-28T12:00:28-07:00,47.75102421,-122.5258366,888131.2726,1142036.246,,,,
420259,2020-10-07T12:02:08-07:00,47.76586149,-122.5618778,893772.2155,1133313.171,0 passable,,,
420261,2020-10-06T12:51:49-07:00,47.77213083,-122.5589165,896039.6506,1134101.004,0 passable ,,,
420262,2020-10-07T11:25:39-07:00,47.76836434,-122.5608688,894678.5305,1133585.118,0 passability,,,
420265,2020-09-28T14:49:39-07:00,47.75640117,-122.5330893,890138.1856,1140302.948,0 passable,,,
420268,2020-10-07T12:37:56-07:00,47.76234966,-122.5618964,892491.56,1133275.1,0 passable ,,,
420414,2020-10-07T12:26:55-07:00,47.76124262,-122.5621716,892089.5883,1133196.877,0 passable ,,,
Active Construction Visit Later,2020-08-27T11:12:20-07:00,47.86412217,-122.5655445,929632.7916,1133350.251,,,,
Buried Culvert,2020-07-08T12:57:36-07:00,47.492965,-122.5455217,794147.4283,1134753.475,,,,
Habitat Ends At Culvert,2020-09-01T11:50:14-07:00,47.87094671,-122.5227616,931849.7144,1143914.472,"Size shape material 0.38, round, pvc Upstream end has0.78 WSD that is result from digging out channel upstream",,,
Habitat Ends At Outlet,2020-08-27T14:15:40-07:00,47.83880937,-122.5588304,920357.5784,1134757.071,Size shape material: 0.36 Round PCC 2 pvc pipes at inlet for road run off 0.16 round,,,
Habitat Ends At Outlet,2020-10-07T10:58:40-07:00,47.77813325,-122.5549629,898203.4183,1135130.072,Spring fed swale at inlet but channel scour is too small.  0.46 RND PCC,,,
Landowner Contact,2020-08-19T13:47:35-07:00,47.64552905,-122.815096,851619.6883,1069764.658,,,,
Landowner Contact?,2020-08-12T11:44:46-07:00,47.63675692,-122.7023761,847625.1679,1097452.43,,,,
Landowner Contact. Outlet On Private Property,2020-08-19T14:23:15-07:00,47.64221569,-122.8229616,850468.4809,1067790.819,Culvert goes into different culvert immediately after entering Private property,,,
Landowner Permission,2020-08-04T13:48:56-07:00,47.64147069,-122.8268392,850224.9946,1066827.216,Tide gate. Leads to swimming lagoon,,,
Landowner Permission Needed,2020-08-04T14:29:07-07:00,47.65953003,-122.7728353,856422.268,1080325.821,Jonhsoncreek possible land owner denial?,,,
Landowner Permission/NFB,2020-08-18T14:51:41-07:00,47.65703226,-122.7223267,855156.755,1092743.548,,,,
NFB,2020-06-30T09:51:20-07:00,47.46759753,-122.5638606,785015.2132,1129978.945,Private road. Storm water drain. NFB,,,
NFB,2020-06-30T10:31:57-07:00,47.46904853,-122.5630862,785539.3107,1130184.282,NFB,,,
NFB,2020-06-30T11:12:40-07:00,47.46659064,-122.5876065,784802.6053,1124097.719,,,,
NFB,2020-06-30T11:14:29-07:00,47.46468187,-122.5873321,784104.7816,1124147.136,NFB. Outlet on Private property ,,,
NFB,2020-06-30T13:55:13-07:00,47.49671047,-122.6317634,796077.7305,1113476.104,NFB,,,
NFB,2020-06-30T14:04:28-07:00,47.48860387,-122.6255701,793080.3691,1114926.946,NFB,,,
