"Title","Date Created","Latitude","Longitude","Northing","Easting","Description"
"NFB 0.53 RND PCC; no channel at outlet and is buried, no habitat gain upstream","2020-09-10T11:00:32-07:00",47.7248117833235,-122.662971885237,0,0,
"NFB Culvert Crossing No US Channel Or SLW Gradient Over 30% From Outlet Can’t Get SSM","2020-09-10T11:37:21-07:00",47.7183037907198,-122.659615044687,0,0,
"NFB Culvert Crossing Rnd CST 0.53 No US Channel No SLW","2020-09-08T14:51:56-07:00",47.691048147792,-122.672562409043,0,0,
"NFB Culvert Crossing Rnd PCC 0.69 US SLW 0.35 Dry Overgrown Channel DS Private Pd","2020-09-10T12:05:30-07:00",47.7156550082545,-122.655177403298,0,0,
"NFB No Downstream Access","2020-09-10T13:33:47-07:00",47.6970945872702,-122.649163002075,0,0,
"NFB no downstream access >1 m barrier at PS, 1 m barrier upstream of inlet; upstream Private property, no access granted ","2020-09-10T11:24:27-07:00",47.7225407350468,-122.661553795926,0,0,
"NFB No US Channel No SLW Rd Drainage Into Retention PCs Rnd PCC 0.46","2020-09-08T13:54:39-07:00",47.6864944843488,-122.659188596287,0,0,
"NFB No US Habitat Mudflats For 5m US No SLW Rnd PCC 0.69","2020-09-10T14:26:58-07:00",47.7093545577332,-122.647948607179,0,0,
"NFB Of DS Access Or Channel","2020-09-08T14:23:19-07:00",47.6850382960061,-122.655864139214,0,0,
"NFB Private Rd Crossing US SLW 0.15 Hillside Drainage No SSM Private Property ","2020-09-10T13:44:43-07:00",47.6975162537621,-122.642478070444,0,0,
"NFB Rd Side Drainage No SLW Drains Into Mudflats No SSM","2020-09-10T14:22:48-07:00",47.7084482842411,-122.64792377991,0,0,
"NFB Rd Side Drainage No SLW Rnd CAL Mitered Wt Gate 0.3","2020-09-08T14:17:50-07:00",47.68233374246,-122.65731157677,0,0,
"NFB Rnd PVC 0.46 Culvert Crossing No Us Channel Past Culvert Influence SLW At Culvert 0.4","2020-09-10T11:46:38-07:00",47.715587983073,-122.661912339237,0,0,
"NFB Surface Grate Draining Hillside No Channel","2020-09-08T14:22:00-07:00",47.6839164030122,-122.657025839195,0,0,
"NFB Surface Grate Draining Hillside No Channel","2020-09-08T14:23:05-07:00",47.6848099970433,-122.657146444916,0,0,
"No Channel No SLW Retention Pd Rnd CST 0.53","2020-09-08T13:36:59-07:00",47.6853361031728,-122.66112997622,0,0,
"No Crossing ","2020-09-08T13:31:58-07:00",47.6835970060311,-122.664794079919,0,0,
"No Crossing Lowland Lagoon That Seeps Into PS","2020-09-10T13:59:13-07:00",47.7047895851619,-122.640400427197,0,0,
"No Crossing No Channel","2020-09-08T14:41:01-07:00",47.6939366744028,-122.672051016867,0,0,
"No Crossing Storm water Holding Area","2020-09-08T14:45:43-07:00",47.6889482134869,-122.673175717043,0,0,
"Shoot","2020-09-10T14:34:04-07:00",47.7084469522199,-122.650497837804,0,0,
