"Title","Date Created","Latitude","Longitude","Northing","Easting","Description","Address","PlaceId","Type"
"420182","2020-07-06T11:07:57-07:00",47.4670169900867,-122.572878182017,784862.003084041,1127743.6507051,"0 passable ",,,
"420183","2020-07-06T11:58:14-07:00",47.467883254744,-122.573328468919,785180.812741574,1127640.61458213,"33 passable",,,
"420184","2020-07-06T12:41:35-07:00",47.4685494798286,-122.573215569916,785423.017275277,1127674.91727749,"33 passable",,,
"420185","2020-07-06T13:43:48-07:00",47.4688183611038,-122.57229149926,785515.059058227,1127905.97973858,"LevelB complete",,,
"420186","2020-07-07T11:15:21-07:00",47.4629440528611,-122.536325478939,783141.307512948,1136743.64208038,"0 passable ",,,
"420187","2020-07-07T11:49:28-07:00",47.4608151943298,-122.545713046457,782425.09906999,1134402.06434867,"Total barrier, large plunge pool. Slope not taken for safety reasons.",,,
"420188","2020-07-07T13:03:06-07:00",47.4540902837312,-122.551326519273,780008.920730234,1132950.07487246,"NFB, end of fish use size, shape, material taken",,,
"420189","2020-07-07T13:38:05-07:00",47.4868848101749,-122.524235278009,791794.47973252,1139957.51617183,,,,
"420190","2020-07-08T08:52:28-07:00",47.5084811655273,-122.518092221065,799630.904012134,1141677.49237249,"0 pass ability ",,,
"420191","2020-07-08T11:44:38-07:00",47.5088320974934,-122.513605828979,799730.539933222,1142789.2588347,"0 passable",,,
"420192","2020-07-08T13:14:39-07:00",47.4849987156058,-122.585920832444,791504.060064646,1124692.07952945,,,,
"420193","2020-07-16T09:00:48-07:00",47.5011456657885,-122.587660775401,797403.451557954,1124417.87166501,,,,
"420194","2020-07-13T13:06:04-07:00",47.4831527643763,-122.596533604856,790900.502396323,1122050.8905724,"0 pass ",,,
"420195 Need Pictures","2020-07-14T09:16:09-07:00",47.4907395886822,-122.601346257763,793698.693481911,1120934.96840081,"0 passable ",,,
"420196","2020-07-14T13:51:45-07:00",47.4686362087605,-122.616554268048,785739.311261624,1116959.90949944,"33 passable",,,
"420201 Level B Needed Pending Landowner Permission ","2020-07-13T14:36:36-07:00",47.4661239538333,-122.59831049198,784702.676448642,1121446.43400175,"0% slope",,,
"420202","2020-07-07T09:53:14-07:00",47.4740531361441,-122.569436367859,787405.382162967,1128662.0300486,"End of Fish use Road impounded swale upstream ",,,
"420217","2020-08-05T10:04:09-07:00",47.6989644835189,-122.740719373527,870576.18964885,1088646.56108777,,,,
"420218","2020-08-05T12:26:45-07:00",47.6706448321383,-122.723033566311,860125.682896773,1092709.3407143,"Double culvert. Level B complete",,,
"420220","2020-08-05T15:24:30-07:00",47.6557801509863,-122.785890743153,855147.828048218,1077069.83714674,"Bridge",,,
"420225","2020-08-18T14:43:12-07:00",47.6495223757474,-122.719157105157,852396.186713578,1093447.39873719,"0 passable ",,,
"420226","2020-08-19T13:21:51-07:00",47.6492668878649,-122.808169508082,852932.653196883,1071511.38055677,,,,
"420232","2020-08-12T13:33:35-07:00",47.6539709649067,-122.793229147027,854540.598038824,1075242.64544051,"Bridge, not a barrier",,,
"420234","2020-08-04T11:38:00-07:00",47.6489235424006,-122.772897622521,852554.992491872,1080198.97255134,"0 passable total debris barrier",,,
"420235","2020-08-19T13:55:59-07:00",47.6460974051797,-122.813946584073,851818.62344849,1070053.9706873,,,,
"420237","2020-08-26T14:33:20-07:00",47.8761261724201,-122.571568126278,934049.718879756,1131986.87667,"0 passable",,,
"420238","2020-08-27T12:29:53-07:00",47.8470137733518,-122.568295791864,923410.695793047,1132511.34306006,"0 passable ",,,
"420239","2020-09-01T13:23:18-07:00",47.8627791283602,-122.515055243908,928822.337719001,1145729.5140508,"Level T pass ability unknown",,,
"420240","2020-09-01T15:05:25-07:00",47.8568039700082,-122.539494293984,926797.246831164,1139674.80252894,"0 pass ability ",,,
"420242","2020-08-20T14:00:53-07:00",47.6344248653557,-122.834744582168,847713.356543549,1064802.95688367,"LevelB complete",,,
"420243","2020-08-27T11:50:21-07:00",47.8497017234533,-122.56941695812,924398.265344666,1132261.81109185,,,,
"420244","2020-09-01T13:39:17-07:00",47.8711220797649,-122.525366477441,931930.085787007,1143276.85864937,"0 passable",,,
"420245","2020-08-04T14:32:08-07:00",47.6464889222253,-122.765986153743,851618.180699576,1081876.51157466,"33 passable crushed outlet",,,
"420246","2020-09-02T12:37:04-07:00",47.8239942930676,-122.546587314725,914875.98435123,1137623.1393782,"0 pass ability ",,,
"420248","2020-09-02T11:21:58-07:00",47.8597641688455,-122.539164827772,927874.814869233,1139783.5940397,"0 pass ability ",,,
"420253","2020-09-28T11:40:09-07:00",47.750353109913,-122.526002934328,887887.570250426,1141989.05731866,"67 passable ",,,
"420254","2020-09-28T13:58:57-07:00",47.7482748926796,-122.534372459351,887182.632794143,1139910.92941057,"33 passable ",,,
"420256","2020-09-28T11:12:49-07:00",47.7476852993402,-122.526824677873,886919.800391318,1141761.93351338,"0 passable",,,
"420257","2020-09-28T12:00:28-07:00",47.7510242080707,-122.525836642335,888131.272560139,1142036.24619913,,,,
"420259","2020-10-07T12:02:08-07:00",47.7658614863946,-122.561877793161,893772.21545611,1133313.17076564,"0 passable",,,
"420261","2020-10-06T12:51:49-07:00",47.7721308272876,-122.558916525754,896039.650615527,1134101.00378085,"0 passable ",,,
"420262","2020-10-07T11:25:39-07:00",47.7683643361049,-122.560868820698,894678.530460323,1133585.11833823,"0 passability",,,
"420265","2020-09-28T14:49:39-07:00",47.7564011697009,-122.533089333274,890138.185554288,1140302.94767423,"0 passable",,,
